osm_id,highway,cyclable_status,name,bicycle,cycleway,access,oneway,surface,lit,maxspeed
1354642604,service,no,,,,private,,,,
1364816868,cycleway,legal,,,,,yes,asphalt,yes,
1380005199,cycleway,legal,,,,,yes,asphalt,,
1390914002,cycleway,legal,,,,,,asphalt,yes,
1410069702,cycleway,legal,,yes,,,,,,
1410069704,cycleway,legal,,yes,,,,,,
1417585576,tertiary,likely,Rue du 1er Mars 1943,,,,yes,asphalt,yes,30
1420135368,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420135369,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420135888,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420136107,residential,likely,Petite Rue Pasteur,,,,,asphalt,yes,30
1420136218,residential,likely,Petite Rue Pasteur,,,,,asphalt,yes,30
1420136783,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420136784,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420136785,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420136786,primary,likely,Cours Émile Zola,,lane,,no,asphalt,yes,30
1420137325,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420137742,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420137743,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420138327,residential,likely,Rue Victor Subit,,,,,asphalt,yes,30
1420139152,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420139449,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420139543,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420139544,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420139760,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420140140,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420140480,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420140922,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420141158,residential,likely,Rue Jules Kumer,,,,yes,asphalt,yes,30
1420141267,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420142181,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420142289,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420142533,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1420142561,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
1426444502,cycleway,legal,Rue du Canal,,,,,asphalt,,
1430224500,cycleway,legal,,,,,yes,,,
1430224501,cycleway,legal,,,,,yes,,,
1441827169,secondary,likely,Avenue Pablo Picasso,,lane,,,asphalt,yes,50
1444562676,cycleway,legal,Rue du Canal,,,,,,,
1444562677,path,legal,,designated,,,,,,
1455284918,cycleway,legal,Rue des Sciences,,,,,asphalt,,30
1455326178,cycleway,legal,,,,,,,,
1461910450,residential,likely,Rue Alexis Perroncel,,,,yes,asphalt,,30
1461910451,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
1466167911,unclassified,likely,,,,,,asphalt,yes,30
1468035593,cycleway,legal,,,link,,,,,
1468035594,cycleway,legal,,,,,no,asphalt,yes,
