code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
89278,Noé,Rural à habitat dispersé,2,Tourisme rural,0.0199,0.0174,0.7402,0.2225,1
89279,Noyers,Rural à habitat dispersé,2,Tourisme rural,0.0156,0.011,0.6117,0.3617,1
89280,Nuits,Rural à habitat dispersé,2,Tourisme rural,0.0065,0.0058,0.9002,0.0875,1
89281,Les Ormes,Rural à habitat dispersé,2,Tourisme rural,0.0165,0.0107,0.6278,0.3451,1
89282,Ormoy,Rural à habitat dispersé,2,Tourisme rural,0.0173,0.0128,0.5884,0.3814,1
89283,Ouanne,Rural à habitat très dispersé,2,Tourisme rural,0.0244,0.0138,0.6298,0.332,1
89284,Pacy-sur-Armançon,Rural à habitat dispersé,2,Tourisme rural,0.0034,0.0051,0.8716,0.12,1
89285,Pailly,Rural à habitat dispersé,2,Tourisme rural,0.0286,0.0252,0.5484,0.3978,1
89286,Parly,Rural à habitat très dispersé,2,Tourisme rural,0.0267,0.0141,0.6333,0.3259,1
89287,Paron,Ceintures urbaines,3,Tourisme litoral,0.3078,0.0657,0.2976,0.3288,1
89288,Paroy-en-Othe,Rural à habitat dispersé,2,Tourisme rural,0.0223,0.019,0.6322,0.3265,1
89289,Paroy-sur-Tholon,Bourgs ruraux,2,Tourisme rural,0.0206,0.013,0.6024,0.364,1
89290,Pasilly,Rural à habitat très dispersé,2,Tourisme rural,0.0214,0.0147,0.6625,0.3014,1
89291,Passy,Rural à habitat dispersé,2,Tourisme rural,0.0188,0.0088,0.5834,0.389,1
89292,Percey,Rural à habitat dispersé,2,Tourisme rural,0.0182,0.0227,0.6874,0.2717,1
89295,Perrigny,Ceintures urbaines,2,Tourisme rural,0.1324,0.033,0.4928,0.3418,1
89296,Perrigny-sur-Armançon,Rural à habitat dispersé,2,Tourisme rural,0.0066,0.0059,0.895,0.0925,1
89297,Pierre-Perthuis,Rural à habitat dispersé,2,Tourisme rural,0.0076,0.0116,0.7603,0.2205,1
